GEOID,year,pct_depression,pct_poor_mh_days
31165,2023,19.5,16.7
31171,2019,15.3,11.6
31171,2023,18.2,14.6
31175,2019,15.7,12.4
31175,2023,18.3,15.4
32001,2019,18.6,15.3
32001,2023,22.8,20.1
32003,2019,17.2,14.4
32003,2023,20.6,19.4
32005,2019,18.5,13.7
32005,2023,21.2,17.7
32007,2019,17.8,14.5
32007,2023,21.6,19.1
32011,2019,19.1,15.1
32011,2023,25.0,21.9
32013,2019,18.3,15.1
32013,2023,22.1,19.0
32015,2019,19.2,15.6
32015,2023,23.5,20.2
32017,2019,19.4,14.7
32017,2023,23.0,19.3
